placeId,name,address,latitude,longitude,description
ChIJA0YvGPWAhYAReXmaDTTdWzU,Cotogna,"490 Pacific Ave, San Francisco, CA 94133, USA",37.7974453,-122.40357589999999,"Popular eatery serving spit-roasted and grilled meat & fish, wood-fired pizza and house-made pasta."
ChIJu9FSr9d_j4ARDBkteFKvUyA,La Connessa,"1695 Mariposa St, San Francisco, CA 94107, USA",37.7635326,-122.40035830000001,No description available.
ChIJl4sPwHlbwokRACeFxskaMLE,PS 397 Spruce Street School,"12 Spruce St, New York, NY 10038, USA",40.7110565,-74.0053612,No description available.
ChIJL7Goh8OBhYAR4ldT4kuPbng,Butter & Crumble,"271 Francisco St, San Francisco, CA 94133, USA",37.805051999999996,-122.40969410000001,No description available.
ChIJZfAoplkfhIARu_aN8O5BBsY,Dawn Ranch,"16467 CA-116, Guerneville, CA 95446, USA",38.5014421,-123.00275579999999,"Warm cabins & cottages in a cozy, ranch-style riverfront lodge from 1905 offering rustic dining."
ChIJg67PeyeBhYAROkno8i7ZxlI,The Interval at Long Now,"Center Building A, 2 Marina Blvd, San Francisco, CA 94123, USA",37.8066031,-122.4321667,"Coffee shop, bar & event space boasting a modern setting complete with views & a librarylike vibe."
ChIJIR8LPgi8woAROIpYJyrGrHY,"Crustacean Restaurant Beverly Hills, CA - Brunch, Lunch & Fine Dining","468 N Bedford Dr, Beverly Hills, CA 90210, USA",34.0691546,-118.40603150000001,Renowned fish & creative Vietnamese fare dished up in chic digs with an attention-getting aquarium.
ChIJmfgIQ-iAhYARq5osc-JybBo,Saint Frank Coffee,"2340 Polk St, San Francisco, CA 94109, USA",37.7984797,-122.4220775,"Sunny, bi-level neighborhood coffeehouse pairing its java with pastries in airy, minimalist digs."
ChIJzeTnf0-BhYAR6iedn8HQ1mA,Müesi Cafe,"2055 Union St Suite B, San Francisco, CA 94123, USA",37.797122099999996,-122.4330983,No description available.
ChIJV828VWh-j4AR7mpxO_Cdmso,Henry's Hunan Restaurant,"1708 Church St, San Francisco, CA 94131, USA",37.7434112,-122.42686169999999,Long-running local chain serving Hunan-style Chinese dishes in a relaxed setting.
ChIJsR6mEFS_woAR-bYcpwWGTSg,Jitlada Restaurant,"5233 W Sunset Blvd, Los Angeles, CA 90027, USA",34.0985721,-118.30407799999999,"The modest strip-mall location doesn't stop foodies who flock here for authentic, spicy Thai fare."
ChIJRyVfg4pVwokRI4meugUhGO8,PingYang Thai NJ,"500 Cortlandt St, Belleville, NJ 07109, USA",40.7976883,-74.1454392,No description available.
ChIJdco4TKpZwokRdtg39W89yog,Culture Espresso,"72 W 38th St, New York, NY 10018, USA",40.7520746,-73.9857387,"Tiny, art-adorned coffeehouse pairing its brews with baked goods, sandwiches & a local vibe."
ChIJ85tbw0aHhYARIXIu4a1XW-A,um.ma,"1220 9th Ave, San Francisco, CA 94122, USA",37.765506099999996,-122.46624099999998,"Modern destination for Korean barbecue, sides & soju served in chic surrounds with an outdoor patio."
ChIJG6hQpwWHhYAR16IZGFBaFlY,Not Latte,"2142 Irving St, San Francisco, CA 94122, USA",37.7635335,-122.48110249999999,No description available.
